open,close,low,high,period
0.5329900000000000,0.5297900000000000,0.5224800000000000,0.5380100000000000,2020-09-13 17:00:00
0.5295200000000000,0.5359600000000000,0.5176200000000000,0.5627500000000000,2020-09-14 17:00:00
0.5349900000000000,0.5266800000000000,0.5000000000000000,0.5378100000000000,2020-09-15 17:00:00
0.5266700000000000,0.5597200000000000,0.5048400000000000,0.5612000000000000,2020-09-16 17:00:00
0.5596400000000000,0.5748900000000000,0.5351100000000000,0.6019900000000000,2020-09-17 17:00:00
0.5763200000000000,0.5786200000000000,0.5566300000000000,0.6100000000000000,2020-09-18 17:00:00
0.5784100000000000,0.5570500000000000,0.5329300000000000,0.5899300000000000,2020-09-19 17:00:00
0.5570500000000000,0.5711400000000000,0.5270000000000000,0.5965900000000000,2020-09-20 17:00:00
0.5702100000000000,0.5747200000000000,0.5330800000000000,0.5786100000000000,2020-09-21 17:00:00
0.5734800000000000,0.5548200000000000,0.5390500000000000,0.5919900000000000,2020-09-22 17:00:00
0.5550100000000000,0.6389700000000000,0.5470200000000000,0.6529900000000000,2020-09-23 17:00:00
0.6394300000000000,0.6653300000000000,0.6108000000000000,0.6882000000000000,2020-09-24 17:00:00
0.6652700000000000,0.6965000000000000,0.6521000000000000,0.7312000000000000,2020-09-25 17:00:00
0.6965000000000000,0.7492300000000000,0.6661700000000000,0.7518000000000000,2020-09-26 17:00:00
0.7492300000000000,0.7158300000000000,0.7075500000000000,0.7600000000000000,2020-09-27 17:00:00
0.7159300000000000,0.7783300000000000,0.7100000000000000,0.7792500000000000,2020-09-28 17:00:00
0.7783300000000000,0.7485900000000000,0.7090000000000000,0.7989300000000000,2020-09-29 17:00:00
0.7486000000000000,0.7277000000000000,0.6810000000000000,0.7598000000000000,2020-09-30 17:00:00
0.7277500000000000,0.6990200000000000,0.6510000000000000,0.7368400000000000,2020-10-01 17:00:00
0.6987900000000000,0.7519900000000000,0.6864100000000000,0.7777000000000000,2020-10-02 17:00:00
0.7517000000000000,0.7724000000000000,0.7260000000000000,0.7943600000000000,2020-10-03 17:00:00
0.7707000000000000,0.7428000000000000,0.7376900000000000,0.7773900000000000,2020-10-04 17:00:00
0.7436100000000000,0.6862500000000000,0.6700000000000000,0.7477000000000000,2020-10-05 17:00:00
0.6853400000000000,0.7395400000000000,0.6587100000000000,0.7502900000000000,2020-10-06 17:00:00
0.7395200000000000,0.7195500000000000,0.6830000000000000,0.7419900000000000,2020-10-07 17:00:00
0.7200000000000000,0.7152400000000000,0.6945400000000000,0.7480000000000000,2020-10-08 17:00:00
0.7153200000000000,0.7660200000000000,0.7127600000000000,0.7810000000000000,2020-10-09 17:00:00
0.7660200000000000,0.7450100000000000,0.7240000000000000,0.7750000000000000,2020-10-10 17:00:00
0.7450300000000000,0.7333600000000000,0.7166600000000000,0.7549100000000000,2020-10-11 17:00:00
0.7320500000000000,0.7540000000000000,0.7275000000000000,0.7700000000000000,2020-10-12 17:00:00
0.7547500000000000,0.7343800000000000,0.7190000000000000,0.7600000000000000,2020-10-13 17:00:00
0.7353500000000000,0.6885000000000000,0.6728300000000000,0.7353900000000000,2020-10-14 17:00:00
0.6885000000000000,0.6616500000000000,0.6552200000000000,0.7042500000000000,2020-10-15 17:00:00
0.6605400000000000,0.6243700000000000,0.6141100000000000,0.6605400000000000,2020-10-16 17:00:00
0.6242000000000000,0.6698300000000000,0.6183300000000000,0.6723500000000000,2020-10-17 17:00:00
0.6700000000000000,0.6311800000000000,0.6260600000000000,0.6780000000000000,2020-10-18 17:00:00
0.6317700000000000,0.5984000000000000,0.5727700000000000,0.6401800000000000,2020-10-19 17:00:00
0.5987300000000000,0.6373000000000000,0.5953300000000000,0.6610700000000000,2020-10-20 17:00:00
