Date,spy
2020-01-02,317.8731994628906
2020-01-03,315.4662170410156
2020-01-06,316.66973876953125
2020-01-07,315.7793273925781
2020-01-08,317.4623107910156
2020-01-09,319.6148681640625
2020-01-10,318.69512939453125
2020-01-13,320.8868713378906
2020-01-14,320.3976745605469
2020-01-15,321.1217041015625
2020-01-16,323.7929382324219
2020-01-17,324.80078125
2020-01-21,324.1647644042969
2020-01-22,324.203857421875
2020-01-23,324.5757141113281
2020-01-24,321.689208984375
2020-01-27,316.5327453613281
2020-01-28,319.8497314453125
2020-01-29,319.58551025390625
2020-01-30,320.6227111816406
2020-01-31,314.8008728027344
2020-02-03,317.139404296875
2020-02-04,321.97296142578125
2020-02-05,325.6911315917969
2020-02-06,326.7870178222656
2020-02-07,325.04534912109375
2020-02-10,327.4719543457031
2020-02-11,328.0394592285156
2020-02-12,330.1529541015625
2020-02-13,329.8006896972656
2020-02-14,330.3290710449219
2020-02-18,329.477783203125
2020-02-19,331.0530700683594
2020-02-20,329.6930847167969
2020-02-21,326.2978210449219
2020-02-24,315.4759826660156
2020-02-25,305.9163818359375
2020-02-26,304.79119873046875
2020-02-27,291.1025085449219
2020-02-28,289.87939453125
2020-03-02,302.43304443359375
2020-03-03,293.773681640625
2020-03-04,306.1218566894531
2020-03-05,295.94586181640625
2020-03-06,291.0535583496094
2020-03-09,268.3238830566406
2020-03-10,282.2082824707031
2020-03-11,268.4510803222656
2020-03-12,242.76641845703125
2020-03-13,263.51959228515625
2020-03-16,234.684326171875
2020-03-17,247.35540771484375
2020-03-18,234.83106994628906
2020-03-19,235.330078125
2020-03-20,225.18873596191406
2020-03-23,219.43106079101562
2020-03-24,239.31224060058594
2020-03-25,242.89479064941406
2020-03-26,257.0773620605469
2020-03-27,249.42013549804688
2020-03-30,257.5202331542969
2020-03-31,253.6818084716797
2020-04-01,242.264892578125
2020-04-02,247.85525512695312
2020-04-03,244.272705078125
2020-04-06,260.6795654296875
2020-04-07,260.9453430175781
2020-04-08,269.704833984375
2020-04-09,273.80902099609375
2020-04-13,271.3091125488281
2020-04-14,279.3108215332031
2020-04-15,273.3759765625
2020-04-16,274.69482421875
2020-04-17,282.11578369140625
2020-04-20,277.1455078125
2020-04-21,268.73046875
2020-04-22,274.69482421875
2020-04-23,274.67510986328125
2020-04-24,278.5037536621094
2020-04-27,282.51934814453125
2020-04-28,281.2201843261719
2020-04-29,288.58209228515625
2020-04-30,285.8952331542969
2020-05-01,278.3265686035156
2020-05-04,279.09429931640625
2020-05-05,281.67291259765625
2020-05-06,279.7635498046875
2020-05-07,283.139404296875
2020-05-08,287.82427978515625
2020-05-11,287.88330078125
2020-05-12,282.1453552246094
2020-05-13,277.1553649902344
2020-05-14,280.4721984863281
2020-05-15,281.76153564453125
2020-05-18,290.3438415527344
2020-05-19,287.3616638183594
2020-05-20,292.243408203125
2020-05-21,290.22576904296875
2020-05-22,290.7769470214844
2020-05-26,294.35943603515625
2020-05-27,298.7392272949219
2020-05-28,298.1880798339844
2020-05-29,299.51678466796875
2020-06-01,300.7273254394531
2020-06-02,303.2173767089844
2020-06-03,307.2527160644531
2020-06-04,306.44561767578125
2020-06-05,314.2996520996094
2020-06-08,318.0987854003906
2020-06-09,315.726806640625
2020-06-10,313.9650573730469
2020-06-11,295.8653259277344
2020-06-12,299.40850830078125
2020-06-15,302.20367431640625
2020-06-16,308.0203857421875
2020-06-17,306.74090576171875
2020-06-18,306.8590087890625
2020-06-19,305.1053466796875
2020-06-22,307.0626525878906
2020-06-23,308.47625732421875
2020-06-24,300.6074523925781
2020-06-25,303.8301086425781
2020-06-26,296.6137390136719
2020-06-29,300.97320556640625
2020-06-30,304.8285217285156
2020-07-01,306.96380615234375
2020-07-02,308.6542053222656
2020-07-06,313.4190368652344
2020-07-07,310.1864929199219
2020-07-08,312.5589599609375
2020-07-09,310.7795715332031
2020-07-10,313.9528503417969
2020-07-13,311.23431396484375
2020-07-14,315.26763916015625
2020-07-15,318.1640625
2020-07-16,317.1162109375
2020-07-17,318.0355224609375
2020-07-20,320.60577392578125
2020-07-21,321.2878723144531
2020-07-22,323.1166687011719
2020-07-23,319.2613220214844
2020-07-24,317.2051696777344
2020-07-27,319.5183410644531
2020-07-28,317.4918518066406
2020-07-29,321.3966064453125
2020-07-30,320.2498779296875
2020-07-31,322.7805480957031
2020-08-03,325.0245666503906
2020-08-04,326.280029296875
2020-08-05,328.3065185546875
2020-08-06,330.5011291503906
2020-08-07,330.7384033203125
2020-08-10,331.7269287109375
2020-08-11,328.9886474609375
2020-08-12,333.5755310058594
2020-08-13,332.9724426269531
2020-08-14,332.98236083984375
2020-08-17,334.0401306152344
2020-08-18,334.76177978515625
2020-08-19,333.367919921875
2020-08-20,334.4059143066406
2020-08-21,335.5921325683594
2020-08-24,338.9927673339844
2020-08-25,340.17901611328125
2020-08-26,343.5895080566406
2020-08-27,344.34075927734375
2020-08-28,346.5650329589844
2020-08-31,345.3095703125
2020-09-01,348.5618896484375
2020-09-02,353.6034851074219
2020-09-03,341.4344787597656
2020-09-04,338.646728515625
2020-09-08,329.3939208984375
2020-09-09,335.8985900878906
2020-09-10,330.066162109375
2020-09-11,330.23419189453125
2020-09-14,334.58380126953125
2020-09-15,336.2742614746094
2020-09-16,334.939697265625
2020-09-17,331.99383544921875
2020-09-18,328.17169189453125
2020-09-21,324.519287109375
2020-09-22,327.8243103027344
2020-09-23,320.22174072265625
2020-09-24,321.0752868652344
2020-09-25,326.2660827636719
2020-09-28,331.6851806640625
2020-09-29,329.8787841796875
