AnnReturn,AnnRisk,SharpeRatio,SortinoRatio,ReturnTraditional,ReturnSP500,RiskTraditional,RiskSP500,SharpeTraditional,SharpeSP500,SortinoTraditional,SortinoSP500,Date,TraditionalOnly,SP500Only,d1,d2,d3,d4,d5,d6
,,,,,,,,,,,,1.48634E+12,101.7045321,102.5477603,101.7045321,101.7560284,101.8075248,101.8590212,101.9105176,101.962014
,,,,,,,,,,,,1.48643E+12,101.7673248,102.5758064,101.7673248,101.8467967,101.9262687,102.0057406,102.0852125,102.1646844
,,,,,,,,,,,,1.48651E+12,101.9238591,102.6795773,101.9238591,102.0110747,102.0982904,102.185506,102.2727216,102.3599373
,,,,,,,,,,,,1.4866E+12,102.1806041,103.2893476,102.1806041,102.1743805,102.1681569,102.1619334,102.1557098,102.1494862
,,,,,,,,,,,,1.48668E+12,102.3835353,103.6637639,102.3835353,102.4015399,102.4195446,102.4375492,102.4555539,102.4735585
,,,,,,,,,,,,1.48677E+12,102.3835353,103.6637639,102.3835353,102.4015399,102.4195446,102.4375492,102.4555539,102.4735585
,,,,,,,,,,,,1.48686E+12,102.3835353,103.6637639,102.3835353,102.3995232,102.415511,102.4314989,102.4474867,102.4634746
,,,,,,,,,,,,1.48694E+12,102.6941078,104.2342696,102.6941078,102.7046953,102.7152827,102.7258701,102.7364575,102.7470449
,,,,,,,,,,,,1.48703E+12,102.8933329,104.6818396,102.8933329,102.9087618,102.9241906,102.9396195,102.9550483,102.9704772
,,,,,,,,,,,,1.48712E+12,103.1410363,105.2196248,103.1410363,103.1554675,103.1698987,103.1843299,103.1987611,103.2131923
,,,,,,,,,,,,1.4872E+12,103.2058977,105.1394596,103.2058977,103.245395,103.2848923,103.3243896,103.363887,103.4033843
,,,,,,,,,,,,1.48729E+12,103.3666799,105.3180201,103.3666799,103.4257359,103.4847919,103.5438479,103.6029039,103.6619599
,,,,,,,,,,,,1.48738E+12,103.3666799,105.3180201,103.3666799,103.4257359,103.4847919,103.5438479,103.6029039,103.6619599
,,,,,,,,,,,,1.48746E+12,103.3666799,105.3180201,103.3666799,103.4218074,103.4769348,103.5320623,103.5871898,103.6423173
,,,,,,,,,,,,1.48755E+12,103.3666799,105.3180201,103.3666799,103.4312505,103.4958212,103.5603919,103.6249625,103.6895332
,,,,,,,,,,,,1.48764E+12,103.7446989,105.9551355,103.7446989,103.8570575,103.9694161,104.0817747,104.1941333,104.3064919
,,,,,,,,,,,,1.48772E+12,103.7073721,105.8501961,103.7073721,103.8350972,103.9628223,104.0905474,104.2182724,104.3459975
,,,,,,,,,,,,1.48781E+12,103.8145453,105.9067559,103.8145453,103.978259,104.1419727,104.3056864,104.4694001,104.6331138
,,,,,,,,,,,,1.48789E+12,104.0792134,106.0904582,104.0792134,104.2549345,104.4306556,104.6063766,104.7820977,104.9578188
,,,,,,,,,,,,1.48798E+12,104.0792134,106.0904582,104.0792134,104.2549345,104.4306556,104.6063766,104.7820977,104.9578188
,,,,,,,,,,,,1.48807E+12,104.0792134,106.0904582,104.0792134,104.2554597,104.431706,104.6079523,104.7841985,104.9604448
,,,,,,,,,,,,1.48815E+12,104.0563593,106.2133939,104.0563593,104.248687,104.4410147,104.6333424,104.82567,105.0179977
,,,,,,,,,,,,1.48824E+12,103.9135028,105.9427484,103.9135028,104.1068983,104.3002938,104.4936893,104.6870848,104.8804802
,,,,,,,,,,,,1.48833E+12,104.5688019,107.4104977,104.5688019,104.7817843,104.9947666,105.207749,105.4207313,105.6337136
,,,,,,,,,,,,1.48841E+12,104.1420048,106.7897426,104.1420048,104.3954591,104.6489133,104.9023675,105.1558218,105.409276
,,,,,,,,,,,,1.4885E+12,104.1889793,106.8465361,104.1889793,104.4622961,104.7356128,105.0089296,105.2822464,105.5555631
,,,,,,,,,,,,1.48859E+12,104.1889793,106.8465361,104.1889793,104.4622961,104.7356128,105.0089296,105.2822464,105.5555631
,,,,,,,,,,,,1.48867E+12,104.1889793,106.8465361,104.1889793,104.4624851,104.735991,105.0094968,105.2830026,105.5565085
,,,,,,,,,,,,1.48876E+12,103.9911822,106.4987636,103.9911822,104.2682498,104.5453174,104.822385,105.0994526,105.3765202
,,,,,,,,,,,,1.48884E+12,103.7600186,106.1956313,103.7600186,104.0058216,104.2516247,104.4974278,104.7432308,104.9890339
,,,,,,,,,,,,1.48893E+12,103.5311924,105.9836491,103.5311924,103.6952822,103.8593719,104.0234616,104.1875513,104.3516411
,,,,,,,,,,,,1.48902E+12,103.4644147,106.0696573,103.4644147,103.6640621,103.8637094,104.0633567,104.2630041,104.4626514
,,,,,,,,,,,,1.4891E+12,103.7093632,106.4183646,103.7093632,103.8012178,103.8930724,103.9849271,104.0767817,104.1686363
,,,,,,,,,,,,1.48919E+12,103.7093632,106.4183646,103.7093632,103.8012178,103.8930724,103.9849271,104.0767817,104.1686363
,,,,,,,,,,,,1.48928E+12,103.7093632,106.4183646,103.7093632,103.9302396,104.1511159,104.3719923,104.5928687,104.8137451
