open,close,low,high,period
9312.1300000000000000,9081.5500000000000000,8950.0000000000000000,9336.3600000000000000,2019-06-17 17:00:00
9081.9700000000000000,9255.4900000000000000,8960.0000000000000000,9304.0000000000000000,2019-06-18 17:00:00
9253.7600000000000000,9517.1200000000000000,9175.2000000000000000,9590.0000000000000000,2019-06-19 17:00:00
9518.0600000000000000,10159.8600000000000000,9518.0600000000000000,10174.9900000000000000,2019-06-20 17:00:00
10159.8600000000000000,10729.5000000000000000,9921.7200000000000000,11160.0000000000000000,2019-06-21 17:00:00
10729.0000000000000000,10906.0700000000000000,10555.1800000000000000,11392.6400000000000000,2019-06-22 17:00:00
10905.9600000000000000,11056.5900000000000000,10620.8000000000000000,11143.6300000000000000,2019-06-23 17:00:00
11056.5900000000000000,11820.8600000000000000,11026.0000000000000000,11850.0000000000000000,2019-06-24 17:00:00
11821.2800000000000000,13093.8000000000000000,11741.0000000000000000,13970.0000000000000000,2019-06-25 17:00:00
13098.3800000000000000,11329.9900000000000000,10525.1000000000000000,13478.0400000000000000,2019-06-26 17:00:00
11329.9900000000000000,12400.6300000000000000,10982.8800000000000000,12480.0000000000000000,2019-06-27 17:00:00
12407.0600000000000000,11903.1300000000000000,11475.0200000000000000,12441.5400000000000000,2019-06-28 17:00:00
11903.1300000000000000,10854.1000000000000000,10766.0300000000000000,12180.0000000000000000,2019-06-29 17:00:00
10854.1000000000000000,10624.9300000000000000,10030.0000000000000000,11282.2800000000000000,2019-06-30 17:00:00
10624.9000000000000000,10842.8500000000000000,9727.0000000000000000,10938.7500000000000000,2019-07-01 17:00:00
10844.9800000000000000,11940.0000000000000000,10841.0400000000000000,11991.8900000000000000,2019-07-02 17:00:00
11940.0000000000000000,11145.6600000000000000,11055.0000000000000000,12000.0000000000000000,2019-07-03 17:00:00
11145.6700000000000000,10970.7300000000000000,10796.4400000000000000,11406.8300000000000000,2019-07-04 17:00:00
10982.4100000000000000,11256.4900000000000000,10964.5100000000000000,11665.0000000000000000,2019-07-05 17:00:00
11256.4500000000000000,11406.2400000000000000,11094.3700000000000000,11538.0000000000000000,2019-07-06 17:00:00
11410.0000000000000000,12238.6000000000000000,11220.0000000000000000,12338.0300000000000000,2019-07-07 17:00:00
12238.6000000000000000,12543.4100000000000000,12068.0000000000000000,12794.7300000000000000,2019-07-08 17:00:00
12548.5100000000000000,12108.3700000000000000,11569.0000000000000000,13147.0800000000000000,2019-07-09 17:00:00
12108.1100000000000000,11342.8900000000000000,11000.0000000000000000,12111.7300000000000000,2019-07-10 17:00:00
11342.8800000000000000,11757.2200000000000000,11073.0000000000000000,11885.0000000000000000,2019-07-11 17:00:00
11757.2200000000000000,11355.7600000000000000,10830.0000000000000000,11799.9800000000000000,2019-07-12 17:00:00
11355.7800000000000000,10174.1800000000000000,10103.0000000000000000,11452.0000000000000000,2019-07-13 17:00:00
10174.1800000000000000,10838.7200000000000000,9860.0000000000000000,11100.0000000000000000,2019-07-14 17:00:00
10833.7800000000000000,9439.5900000000000000,9350.0100000000000000,11028.0000000000000000,2019-07-15 17:00:00
9430.1700000000000000,9667.9200000000000000,9060.0000000000000000,9957.0000000000000000,2019-07-16 17:00:00
9668.8600000000000000,10627.1600000000000000,9252.0000000000000000,10788.0000000000000000,2019-07-17 17:00:00
10628.6400000000000000,10504.2900000000000000,10121.8400000000000000,10769.7100000000000000,2019-07-18 17:00:00
10505.7800000000000000,10740.2300000000000000,10350.0000000000000000,11068.9900000000000000,2019-07-19 17:00:00
10740.2700000000000000,10589.4500000000000000,10288.0000000000000000,10817.9000000000000000,2019-07-20 17:00:00
10590.1500000000000000,10340.3100000000000000,10100.0000000000000000,10683.1600000000000000,2019-07-21 17:00:00
10343.0800000000000000,9864.9100000000000000,9822.0000000000000000,10343.9700000000000000,2019-07-22 17:00:00
9864.7800000000000000,9763.2800000000000000,9525.0000000000000000,9937.0000000000000000,2019-07-23 17:00:00
9763.4000000000000000,9879.8700000000000000,9720.0300000000000000,10175.0000000000000000,2019-07-24 17:00:00
9882.1500000000000000,9824.0000000000000000,9637.0000000000000000,9889.9800000000000000,2019-07-25 17:00:00
9823.0700000000000000,9476.5200000000000000,9333.0000000000000000,10188.6600000000000000,2019-07-26 17:00:00
9479.6500000000000000,9541.5400000000000000,9165.0000000000000000,9594.9900000000000000,2019-07-27 17:00:00
9541.5400000000000000,9507.6400000000000000,9395.0000000000000000,9729.0000000000000000,2019-07-28 17:00:00
9509.0700000000000000,9574.2100000000000000,9402.0000000000000000,9714.2800000000000000,2019-07-29 17:00:00
9575.0000000000000000,10080.5300000000000000,9555.0000000000000000,10109.8000000000000000,2019-07-30 17:00:00
10080.5300000000000000,10374.9900000000000000,9863.4600000000000000,10467.8600000000000000,2019-07-31 17:00:00
10375.0000000000000000,10523.7500000000000000,10281.3500000000000000,10670.0000000000000000,2019-08-01 17:00:00
10523.7500000000000000,10816.8600000000000000,10497.9300000000000000,10904.7700000000000000,2019-08-02 17:00:00
10816.8600000000000000,10929.2300000000000000,10552.0000000000000000,11040.0000000000000000,2019-08-03 17:00:00
10929.9900000000000000,11828.8100000000000000,10927.8000000000000000,11937.5200000000000000,2019-08-04 17:00:00
11830.0000000000000000,11481.6900000000000000,11226.7000000000000000,12330.7000000000000000,2019-08-05 17:00:00
11481.6900000000000000,11975.0300000000000000,11382.8400000000000000,12141.1700000000000000,2019-08-06 17:00:00
11975.0400000000000000,11999.7700000000000000,11521.0000000000000000,12060.0000000000000000,2019-08-07 17:00:00
11994.1700000000000000,11907.5000000000000000,11778.0000000000000000,12045.6800000000000000,2019-08-08 17:00:00
10935.8600000000000000,10892.7100000000000000,10858.0400000000000000,10981.6900000000000000,2019-08-12 17:00:00
10893.3600000000000000,10050.3700000000000000,9928.1000000000000000,10897.4800000000000000,2019-08-13 17:00:00
10055.1600000000000000,10293.9300000000000000,9911.0000000000000000,10460.0000000000000000,2019-08-14 17:00:00
10296.7700000000000000,10331.5400000000000000,9750.0000000000000000,10536.0300000000000000,2019-08-15 17:00:00
10331.1500000000000000,10216.0200000000000000,10000.0000000000000000,10465.1400000000000000,2019-08-16 17:00:00
10216.0500000000000000,10306.7800000000000000,10080.0000000000000000,10500.0000000000000000,2019-08-17 17:00:00
10306.1700000000000000,10915.5400000000000000,10258.6000000000000000,10930.0000000000000000,2019-08-18 17:00:00
10914.7300000000000000,10760.5100000000000000,10560.0000000000000000,10949.9600000000000000,2019-08-19 17:00:00
10760.5100000000000000,10142.5700000000000000,9858.0000000000000000,10804.1300000000000000,2019-08-20 17:00:00
10140.8200000000000000,10099.8800000000000000,9762.0000000000000000,10242.0000000000000000,2019-08-21 17:00:00
10099.9000000000000000,10389.5500000000000000,10019.7900000000000000,10445.0000000000000000,2019-08-22 17:00:00
10388.1600000000000000,10134.3500000000000000,9890.0000000000000000,10419.4200000000000000,2019-08-23 17:00:00
10134.6100000000000000,10142.6900000000000000,9906.9700000000000000,10333.0000000000000000,2019-08-24 17:00:00
10142.6900000000000000,10372.2500000000000000,10137.9300000000000000,10604.0000000000000000,2019-08-25 17:00:00
10373.6000000000000000,10185.0500000000000000,10051.0800000000000000,10391.0800000000000000,2019-08-26 17:00:00
10185.6900000000000000,9721.0000000000000000,9601.0100000000000000,10299.0000000000000000,2019-08-27 17:00:00
9721.0000000000000000,9498.4400000000000000,9320.0000000000000000,9724.0000000000000000,2019-08-28 17:00:00
9499.0100000000000000,9584.5400000000000000,9350.4100000000000000,9696.0000000000000000,2019-08-29 17:00:00
9582.7600000000000000,9587.4700000000000000,9420.7500000000000000,9684.5100000000000000,2019-08-30 17:00:00
9588.7400000000000000,9724.9800000000000000,9520.0000000000000000,9830.0000000000000000,2019-08-31 17:00:00
9723.5900000000000000,10340.0000000000000000,9712.5000000000000000,10450.0000000000000000,2019-09-01 17:00:00
10340.0000000000000000,10615.2800000000000000,10272.0000000000000000,10773.0000000000000000,2019-09-02 17:00:00
10611.8500000000000000,10567.0200000000000000,10369.8900000000000000,10799.0000000000000000,2019-09-03 17:00:00
10565.9200000000000000,10564.4900000000000000,10450.0000000000000000,10900.0000000000000000,2019-09-04 17:00:00
10563.1300000000000000,10298.7300000000000000,10150.0000000000000000,10905.8700000000000000,2019-09-05 17:00:00
10298.7100000000000000,10455.8800000000000000,10288.5700000000000000,10558.0000000000000000,2019-09-06 17:00:00
10455.9000000000000000,10381.1800000000000000,10208.0000000000000000,10592.5000000000000000,2019-09-07 17:00:00
10381.2400000000000000,10303.1200000000000000,10068.5000000000000000,10480.0000000000000000,2019-09-08 17:00:00
10302.5800000000000000,10098.1500000000000000,9953.0000000000000000,10384.9900000000000000,2019-09-09 17:00:00
10098.1900000000000000,10158.3300000000000000,9880.0000000000000000,10293.0000000000000000,2019-09-10 17:00:00
10158.7500000000000000,10415.0100000000000000,10040.0000000000000000,10448.8100000000000000,2019-09-11 17:00:00
10415.0100000000000000,10342.0600000000000000,10153.0000000000000000,10439.0000000000000000,2019-09-12 17:00:00
10344.1300000000000000,10335.0200000000000000,10222.3300000000000000,10419.9900000000000000,2019-09-13 17:00:00
10332.8100000000000000,10302.0100000000000000,10252.1500000000000000,10360.0000000000000000,2019-09-14 17:00:00
10303.3400000000000000,10251.3100000000000000,10078.0000000000000000,10355.0000000000000000,2019-09-15 17:00:00
10249.6800000000000000,10187.8200000000000000,10128.0100000000000000,10275.0000000000000000,2019-09-16 17:00:00
10187.4800000000000000,10156.9900000000000000,10100.0000000000000000,10258.0200000000000000,2019-09-17 17:00:00
10156.4100000000000000,10244.2900000000000000,9653.0000000000000000,10325.0000000000000000,2019-09-18 17:00:00
10243.6200000000000000,10168.5900000000000000,10061.3900000000000000,10281.0000000000000000,2019-09-19 17:00:00
10167.9200000000000000,9986.3900000000000000,9900.0000000000000000,10176.7000000000000000,2019-09-20 17:00:00
9985.1500000000000000,10028.8700000000000000,9853.9700000000000000,10089.0000000000000000,2019-09-21 17:00:00
10028.0500000000000000,9702.2500000000000000,9615.7700000000000000,10049.9900000000000000,2019-09-22 17:00:00
9702.2000000000000000,8493.1400000000000000,7800.0000000000000000,9794.9900000000000000,2019-09-23 17:00:00
8497.5500000000000000,8430.0500000000000000,8215.6400000000000000,8730.0000000000000000,2019-09-24 17:00:00
8430.0500000000000000,8063.7300000000000000,7750.0000000000000000,8465.9900000000000000,2019-09-25 17:00:00
8063.4900000000000000,8177.9100000000000000,7852.1500000000000000,8265.0000000000000000,2019-09-26 17:00:00
8177.4700000000000000,8198.8100000000000000,8001.0900000000000000,8315.0000000000000000,2019-09-27 17:00:00
8199.3800000000000000,8043.8200000000000000,7890.0000000000000000,8229.1300000000000000,2019-09-28 17:00:00
8043.0400000000000000,8289.3400000000000000,7710.0000000000000000,8337.2600000000000000,2019-09-29 17:00:00
